ac_no,Candidate,Party,% of Votes,Total Votes,,
1,Umar Ali Khan,Samajwadi Party,47.81%,"13,4513",,
1,Naresh Saini,Bharatiya Janata Party,34.34%,"96,633",,
1,Rais Malik,Bahujan Samaj Party,16.02%,"45,075",,
1,Poonam Kamboj,Indian National Congress,0.58%,"16,32",,
1,Sushil Kumar,Aam Aadmi Party,0.41%,"11,62",,
1,NOTA,None of the Above,0.4%,"11,17",,
1,Dharampal Singh,Independent,0.2%,"56,0",,
1,Ali Khan,Independent,0.15%,"40,9",,
1,Mo. IKram,Independent,0.1%,"27,2",,
2,MUKESH CHOUDHARY,Bharatiya Janata Party,38.47%,"10,4114",,
2,DR. DHARAM SINGH SAINI,Samajwadi Party,38.35%,"10,3799",,
2,SAHIL KHAN,Bahujan Samaj Party,20.36%,"55,112",,
2,RIZWANA,All India Majlis-E-Ittehadul Muslimeen,1.33%,"35,93",,
2,RANDHEER SINGH,Indian National Congress,0.5%,"13,54",,
2,NOTA,None of the Above,0.26%,"71,0",,
2,SONU KUMAR,Aazad Samaj Party (Kanshi Ram),0.23%,"61,6",,
2,ATUL KUMAR,Inqalab Vikas Dal,0.16%,"42,0",,
2,NITIN KUMAR,Jai Maha Bharath Party,0.1%,"26,7",,
2,ASHISH TYAGI,Aam Aadmi Party,0.09%,"24,0",,
2,DEVENDRA CHAUHAN,Aamjan Ekta Party,0.08%,"21,8",,
2,NAHID LATIF,Lok Dal,0.08%,"20,9",,
3,RAJEEV GUMBER,Bharatiya Janata Party,48.85%,"14,3195",,
3,SANJAY GARG,Samajwadi Party,46.32%,"13,5761",,
3,Manish,Bahujan Samaj Party,2.99%,"87,76",,
3,SUKHWINDER KAUR,Indian National Congress,0.77%,"22,56",,
3,NOTA,None of the Above,0.26%,"75,3",,
3,MANSOOR AHMED,Aazad Samaj Party (Kanshi Ram),0.24%,"69,5",,
3,AVTAR SINGH,Akhand Bharat Vikas Party,0.14%,"39,8",,
3,RITA,Bahujan Mukti Party,0.12%,"36,0",,
3,USMAN MALIK,Aam Aadmi Party,0.1%,"28,7",,
3,SANJAY KUMAR,Independent,0.07%,"20,6",,
3,KAMROODDIN,Sanyukt Vikas Party,0.06%,"16,8",,
